6.00

# WHEN SCRAPING, STATIC OBJECTS WILL RECEIVE CONTIUOUS TILING SCRAPE TEXTURES
# DYNAMIC OBJECTS & VEHICLES WILL RECEIVE SINGLE SCRAPE TEXTURES

#######################################################################################################################################
#																
#  The table below is used to look up what happens to a material when it collides with another.					
#  To see what happens to a material we look up its row and then cross reference with the column of the material it has collided with
#  The resulting index is used in the list of infos below this table to find out what to do to the material			
#																
#######################################################################################################################################



#############################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################
# 						DEBUG_COL		VOID	GENERIC	CONCRET	CONCDUS	TARMAC	TARMACB STONE	BRICK	MARBLE	PAVING	SANDST	SANDSTB	SAND_L	SAND_C	SANDWET	SANDUND	SAND_D	SANDW_D	ICE		SNOW_C	SNOW_L	GRAVEL	GRAV_D	DIRTDRY	MUDSOFT	MUD_D	MUDUND	CLAY	GRASS	GRASS_S	HAY		BUSHES	TREEBAR	LEAVES	METAL	WOOD	WOODDUS WOODSPL	CERAMIC	CARPETF	CARPETD	PLASTIC	PLASTHO	RUBBER	LINO	PLASTBR	CARDBOA	PAPER	FOAM	FEATHER	TVSCREE	GLASS	GLASSBP	CARMETA	CARPLAS	CARGLAS	PUDDLE	L_WATER	L_BLOOD	L_OIL	L_PETRL L_MUD	F_MEAT	D_MEAT	PEDHEAD	PEDTORS	PEDLIMB	PEDFOOT	PEDCAPS
						R	G	B																																																																							
MTLFX_TABLE_START																																																																											
																																																																													
VOID					0	0	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
GENERIC					255	0	255		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		4035	4035	4035	0		0		0		0		0		0		0		0		0		0		0		0		0	
																																																																																																																																																		
CONCRETE				145	145	145		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0201	2501	2501	2501	0301	0		0301	2901	2901	3101	2901	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0201	0201	4402	4402	4402	4402	4402
CONCRETE_DUSTY			145	140	130		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0201	2501	2501	2501	0301	0		0301	2901	2901	3101	2901	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0201	0201	4402	4402	4402	4402	4402
TARMAC					90	90	90		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0301	2501	0301	0301	0301	0		0301	0301	0301	3101	0301	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0301	0301	4402	4402	4402	4402	4402
TARMAC_BRITTLE			70	70	70		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0301	2501	0301	0301	0301	0		0301	0301	0301	3101	0301	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0301	0301	4402	4402	4402	4402	4402
STONE					185	185	185		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0701	0701	0701	0701	0701	0		0701	0701	0701	3101	0701	0		0		0		0		0		0		0		0		0751	0751	0751	0		0		0		0		0		0		0701	0701	4401	4401	4401	4401	4401
BRICK					195	95	30		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0501	0501	0501	0501	0501	0		0501	0501	0501	3101	0501	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0501	0501	4402	4402	4402	4402	4402
MARBLE					195	155	145		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0201	2501	2501	2501	0301	0		0301	0301	2901	3101	2901	0		0		0		0		0		0		0		0		0201	0201	0201	0		0		0		0		0		0		0201	0201	4402	4402	4402	4402	4402
